input,normalized,detected_label,detected_category,method,score,gt_label,gt_category,correct_label,correct_category
switch on the heater,switch on the heater,heater,action,direct,1.0,heater,action,1,1
switc on the heater,switch on the heater,heater,action,direct,1.0,heater,action,1,1
switch on th heater,switch on the heater,heater,action,direct,1.0,heater,action,1,1
can you take me for hiking,can you take me for hiking,hiking,action,direct,1.0,hiking,action,1,1
can you take mefor hiking,can you take for hiking,hiking,action,direct,1.0,hiking,action,1,1
can you take me for hiking,can you take me for hiking,hiking,action,direct,1.0,hiking,action,1,1
its so hot,its so hot,hot,action,direct,1.0,hot,action,1,1
itsso hot,its hot,hot,action,direct,1.0,hot,action,1,1
its sohot,its hot,hot,action,direct,1.0,hot,action,1,1
how long,how long,how long,action,direct,1.0,how long,action,1,1
ohw long,ohw long,how long,action,fuzzy,0.875,how long,action,1,1
hw long,how long,how long,action,direct,1.0,how long,action,1,1
how many,how many,how many,action,direct,1.0,how many,action,1,1
ho many,how many,how many,action,direct,1.0,how many,action,1,1
how mny,how many,how many,action,direct,1.0,how many,action,1,1
how much is it,how much is it,how much,action,direct,1.0,how much,action,1,1
how much is i,how much is i,how much,action,direct,1.0,how much,action,1,1
how much is t,how much is t,how much,action,direct,1.0,how much,action,1,1
how,how,how,action,direct,1.0,how,action,1,1
hw,how,how,action,direct,1.0,how,action,1,1
ho,how,how,action,direct,1.0,how,action,1,1
i am all done,i am all done,i am all done,action,direct,1.0,i am all done,action,1,1
i am al done,i am dal done,dal,food,direct,1.0,i am all done,action,0,0
i amall done,i mall done,mall,place,direct,1.0,i am all done,action,0,0
can you keep distance while talking,can you keep distance while talking,keep distance while talking,action,tfidf,1.0000000000000002,keep distance while talking,action,1,1
can you keep distance whl talking,can you keep distance while talking,keep distance while talking,action,tfidf,1.0000000000000002,keep distance while talking,action,1,1
can oyu keep distance while talking,can oyu keep distance while talking,keep distance while talking,action,direct,1.0,keep distance while talking,action,1,1
i am doing leg exercise,i am doing leg exercise,leg exercises,action,fuzzy,1.0,leg exercises,action,1,1
i m doing leg exercise,i m doing leg exercise,leg exercises,action,fuzzy,0.9777777777777777,leg exercises,action,1,1
i am doing leg exercis,i am doing leg exercise,leg exercises,action,fuzzy,1.0,leg exercises,action,1,1
come lets dance,come lets dance,lets dance,action,tfidf,1.0000000000000002,lets dance,action,1,1
come letsdance,come lets dance,lets dance,action,tfidf,1.0000000000000002,lets dance,action,1,1
come lets danc,come lets dance,lets dance,action,tfidf,1.0000000000000002,lets dance,action,1,1
switch on the light,switch on the light,light,action,tfidf,1.0000000000000002,light,action,1,1
switch n the light,switch n the light,light,action,direct,1.0,light,action,1,1
siwtch on the light,switch on the light,light,action,tfidf,1.0000000000000002,light,action,1,1
make some music,make some music,make music,action,tfidf,1.0000000000000002,make music,action,1,1
mak some music,make some music,make music,action,tfidf,1.0000000000000002,make music,action,1,1
make soem music,make some music,make music,action,tfidf,1.0000000000000002,make music,action,1,1
menu pls,menu pls,menu,action,tfidf,1.0000000000000002,menu,action,1,1
menu pls,menu pls,menu,action,tfidf,1.0000000000000002,menu,action,1,1
menupls,menupls,menu,action,fuzzy,0.9333333333333333,menu,action,1,1
there is some money,there is some money,money,action,direct,1.0,money,action,1,1
thr is some money,there is some money,money,action,direct,1.0,money,action,1,1
there i some money,there i some money,money,action,direct,1.0,money,action,1,1
i have my mourning routine,i have my mourning routine,morning routine,action,fuzzy,1.0,morning routine,action,1,1
i hav my mourning routine,i have my mourning routine,morning routine,action,fuzzy,1.0,morning routine,action,1,1
i have my mourning routine,i have my mourning routine,morning routine,action,fuzzy,1.0,morning routine,action,1,1
i want to play with friend,i want to play with friend,play with friend,action,direct,1.0,play with friend,action,1,1
i want to play with friedn,i want to play with fried,play with friend,action,fuzzy,0.9803921568627451,play with friend,action,1,1
i wantto play with friend,i want play with friend,play with friend,action,direct,1.0,play with friend,action,1,1
its in red light please stop,its in red light please stop,light,action,direct,1.0,red light- wait,action,0,1
its in erd light please stop,its in erd light please stop,light,action,direct,1.0,red light- wait,action,0,1
its in red light please stop,its in red light please stop,light,action,direct,1.0,red light- wait,action,0,1
run,run,run,action,direct,1.0,run,action,1,1
ru,run,run,action,direct,1.0,run,action,1,1
rn,run,run,action,direct,1.0,run,action,1,1
go back,go back,back,action,direct,1.0,back,action,1,1
go bakc,go bake,back,action,fuzzy,0.8571428571428571,back,action,1,1
goback,back,back,action,direct,1.0,back,action,1,1
add some butter,add some butter,butter,add-ons,direct,1.0,butter,add-ons,1,1
addsome butter,addsome butter,butter,add-ons,direct,1.0,butter,add-ons,1,1
add some chilli flakes,add some chilli flakes,chilli flakes,add-ons,direct,1.0,chilli flakes,add-ons,1,1
add somechilli flakes,add chilli flakes,chilli flakes,add-ons,direct,1.0,chilli flakes,add-ons,1,1
add some chilliflakes,add some chilli flakes,chilli flakes,add-ons,direct,1.0,chilli flakes,add-ons,1,1
add some chilli,add some chilli,chilli,add-ons,direct,1.0,chilli,add-ons,1,1
ad some chilli,sad some chilli,chilli,add-ons,direct,1.0,chilli,add-ons,1,1
dd some chilli,add some chilli,chilli,add-ons,direct,1.0,chilli,add-ons,1,1
give me some dips,give me some dips,dips,add-ons,direct,1.0,dips,add-ons,1,1
gvie me some dips,gve me some dips,dips,add-ons,direct,1.0,dips,add-ons,1,1
give me some dips,give me some dips,dips,add-ons,direct,1.0,dips,add-ons,1,1
give me eclairs,give me eclairs,eclairs,add-ons,tfidf,1.0000000000000002,eclairs,add-ons,1,1
give m eclairs,give m eclairs,eclairs,add-ons,direct,1.0,eclairs,add-ons,1,1
gv me eclairs,gve me eclairs,eclairs,add-ons,direct,1.0,eclairs,add-ons,1,1
give me some jam,give me some jam,jam,add-ons,direct,1.0,jam,add-ons,1,1
give mesome jam,give some jam,jam,add-ons,direct,1.0,jam,add-ons,1,1
gv me some jam,gve me some jam,jam,add-ons,direct,1.0,jam,add-ons,1,1
give some ketchup,give some ketchup,ketchup,add-ons,tfidf,1.0000000000000002,ketchup,add-ons,1,1
give someketchup,give ketchup,ketchup,add-ons,direct,1.0,ketchup,add-ons,1,1
giv some ketchup,give some ketchup,ketchup,add-ons,tfidf,1.0000000000000002,ketchup,add-ons,1,1
add some maple syrup,add some maple syrup,maple syrup,add-ons,tfidf,1.0000000000000002,maple syrup,add-ons,1,1
add soem maple syrup,add some maple syrup,maple syrup,add-ons,tfidf,1.0000000000000002,maple syrup,add-ons,1,1
add some maplesyrup,add some maple syrup,maple syrup,add-ons,tfidf,1.0000000000000002,maple syrup,add-ons,1,1
add some masala,add some masala,masala,add-ons,tfidf,1.0000000000000002,masala,add-ons,1,1
addsome masala,addsome masala,masala,add-ons,direct,1.0,masala,add-ons,1,1
add some masal,add some masala,masala,add-ons,tfidf,1.0000000000000002,masala,add-ons,1,1
add some mustard,add some mustard,mustard,add-ons,tfidf,1.0000000000000002,mustard,add-ons,1,1
dd some mustard,add some mustard,mustard,add-ons,tfidf,1.0000000000000002,mustard,add-ons,1,1
addsome mustard,addsome mustard,mustard,add-ons,direct,1.0,mustard,add-ons,1,1
give me peanut butter,give me peanut butter,peanut butter,add-ons,tfidf,1.0000000000000002,peanut butter,add-ons,1,1
giveme peanut butter,give peanut butter,butter,add-ons,direct,1.0,peanut butter,add-ons,0,1
giev me peanut butter,give me peanut butter,peanut butter,add-ons,tfidf,1.0000000000000002,peanut butter,add-ons,1,1
add some pepper,add some pepper,pepper,add-ons,tfidf,1.0000000000000002,pepper,add-ons,1,1
add some peppe,add some pepper,pepper,add-ons,tfidf,1.0000000000000002,pepper,add-ons,1,1
add sm pepper,add sm pepper,pepper,add-ons,direct,1.0,pepper,add-ons,1,1
give some pickle,give some pickle,pickle,add-ons,tfidf,1.0000000000000002,pickle,add-ons,1,1
givesome pickle,givesome pickle,pickle,add-ons,direct,1.0,pickle,add-ons,1,1
i want some raita,i want some raita,raita,add-ons,tfidf,1.0000000000000002,raita,add-ons,1,1
 want some raita,want some raita,raita,add-ons,tfidf,1.0000000000000002,raita,add-ons,1,1
i want someraita,i want someraita,raita,add-ons,fuzzy,0.9696969696969697,raita,add-ons,1,1
sabzi is nice,sabzi is nice,sabzi,add-ons,direct,1.0,sabzi,add-ons,1,1
asbzi is nice,sabzi is nice,sabzi,add-ons,direct,1.0,sabzi,add-ons,1,1
sabzi i nice,sabzi i nice,sabzi,add-ons,direct,1.0,sabzi,add-ons,1,1
do some salad dressing,do some salad dressing,salad dressing,add-ons,direct,1.0,salad dressing,add-ons,1,1
dosome salad dressing,some salad dressing,salad dressing,add-ons,direct,1.0,salad dressing,add-ons,1,1
do soem salad dressing,do some salad dressing,salad dressing,add-ons,direct,1.0,salad dressing,add-ons,1,1
add some salt,add some salt,salt,add-ons,tfidf,1.0000000000000002,salt,add-ons,1,1
add somesalt,add somesalt,salt,add-ons,fuzzy,0.96,salt,add-ons,1,1
add more sause,add more sause,sauce,add-ons,fuzzy,1.0,sauce,add-ons,1,1
addmore sause,addmore sause,sauce,add-ons,fuzzy,0.9629629629629629,sauce,add-ons,1,1
add more saus,add more sause,sauce,add-ons,fuzzy,1.0,sauce,add-ons,1,1
there is an ant,there is an ant,ant,animals,tfidf,1.0000000000000002,ant,animals,1,1
there is n ant,there is n ant,ant,animals,direct,1.0,ant,animals,1,1
there s an ant,there s an ant,ant,animals,direct,1.0,ant,animals,1,1
there is a bee,there is a bee,bee,animals,direct,1.0,bee,animals,1,1
thr is a bee,there is a bee,bee,animals,direct,1.0,bee,animals,1,1
there is a bee,there is a bee,bee,animals,direct,1.0,bee,animals,1,1
there is a bison,there is a bison,bison,animals,direct,1.0,bison,animals,1,1
there i a bison,there i a bison,bison,animals,direct,1.0,bison,animals,1,1
there is a bison,there is a bison,bison,animals,direct,1.0,bison,animals,1,1
it’s a buffalo,it’s a buffalo,buffalo,animals,tfidf,1.0000000000000002,buffalo,animals,1,1
it’s a buffal,it’s a buffalo,buffalo,animals,tfidf,1.0000000000000002,buffalo,animals,1,1
it’s a bffl,it’s a bffl,buffalo,animals,fuzzy,0.88,buffalo,animals,1,1
it’s a cat,it’s a cat,cat,animals,tfidf,1.0000000000000002,cat,animals,1,1
it’s acat,it’s cat,cat,animals,tfidf,1.0000000000000002,cat,animals,1,1
it’s a cockroach,it’s a cockroach,cockroach,animals,tfidf,1.0000000000000002,cockroach,animals,1,1
it’sa cockroach,it’s cockroach,cockroach,animals,tfidf,1.0000000000000002,cockroach,animals,1,1
it’s a cockroac,it’s a cockroach,cockroach,animals,tfidf,1.0000000000000002,cockroach,animals,1,1
i see the cow,i see the cow,cow,animals,direct,1.0,cow,animals,1,1
i see the cow,i see the cow,cow,animals,direct,1.0,cow,animals,1,1
i see thecow,i see thecow,cow,animals,fuzzy,0.96,cow,animals,1,1
i see a crocodile,i see a crocodile,crocodile,animals,tfidf,1.0000000000000002,crocodile,animals,1,1
i see a crcoodile,i see a crocodile,crocodile,animals,tfidf,1.0000000000000002,crocodile,animals,1,1
i see  crocodile,i see crocodile,crocodile,animals,tfidf,1.0000000000000002,crocodile,animals,1,1
there is a dog,there is a dog,dog,animals,direct,1.0,dog,animals,1,1
thereis a dog,there's a dog,dog,animals,direct,1.0,dog,animals,1,1
there is a dog,there is a dog,dog,animals,direct,1.0,dog,animals,1,1
it’s the dolphin,it’s the dolphin,dolphin,animals,tfidf,1.0000000000000002,dolphin,animals,1,1
it’s thedolphin,it’s dolphin,dolphin,animals,direct,1.0,dolphin,animals,1,1
it’s the donkey,it’s the donkey,donkey,animals,tfidf,1.0000000000000002,donkey,animals,1,1
it’s the dnky,it’s the donkey,donkey,animals,tfidf,1.0000000000000002,donkey,animals,1,1
it’sthe donkey,it’sthe donkey,donkey,animals,direct,1.0,donkey,animals,1,1
it’s the elephant,it’s the elephant,elephant,animals,tfidf,1.0000000000000002,elephant,animals,1,1
it’ the elephant,it’s the elephant,elephant,animals,tfidf,1.0000000000000002,elephant,animals,1,1
it’s th elephant,it’s the elephant,elephant,animals,tfidf,1.0000000000000002,elephant,animals,1,1
there is the fox,there is the fox,fox,animals,direct,1.0,fox,animals,1,1
there i the fox,there i the fox,fox,animals,direct,1.0,fox,animals,1,1
there is the fox,there is the fox,fox,animals,direct,1.0,fox,animals,1,1
there is the giraffe,there is the giraffe,giraffe,animals,direct,1.0,giraffe,animals,1,1
there is th giraffe,there is the giraffe,giraffe,animals,direct,1.0,giraffe,animals,1,1
ther is the giraffe,there is the giraffe,giraffe,animals,direct,1.0,giraffe,animals,1,1
there is the goat,there is the goat,goat,animals,direct,1.0,goat,animals,1,1
there is the goa,there is the goat,goat,animals,direct,1.0,goat,animals,1,1
there is teh goat,there is teeth goat,goat,animals,direct,1.0,goat,animals,1,1
there is the hippopotamus,there is the hippopotamus,hippopotamus,animals,direct,1.0,hippopotamus,animals,1,1
there is the hippopotamu,there is the hippopotamus,hippopotamus,animals,direct,1.0,hippopotamus,animals,1,1
there is the horse,there is the horse,horse,animals,direct,1.0,horse,animals,1,1
there i the horse,there i the horse,horse,animals,direct,1.0,horse,animals,1,1
there is the hors,there is the horse,horse,animals,direct,1.0,horse,animals,1,1
it’s the kangaroo,it’s the kangaroo,kangaroo,animals,tfidf,1.0000000000000002,kangaroo,animals,1,1
it’s thekangaroo,it’s kangaroo,kangaroo,animals,direct,1.0,kangaroo,animals,1,1
it’s th kangaroo,it’s the kangaroo,kangaroo,animals,tfidf,1.0000000000000002,kangaroo,animals,1,1
there is a lion,there is a lion,lion,animals,direct,1.0,lion,animals,1,1
there isa lion,there is lion,lion,animals,direct,1.0,lion,animals,1,1
thr is a lion,there is a lion,lion,animals,direct,1.0,lion,animals,1,1
there is a monkey,there is a monkey,monkey,animals,direct,1.0,monkey,animals,1,1
theer is a monkey,these is a monkey,monkey,animals,direct,1.0,monkey,animals,1,1
there is a mnky,there is a monkey,monkey,animals,direct,1.0,monkey,animals,1,1
mosquito bites,mosquito bites,mosquito,animals,tfidf,1.0000000000000002,mosquito,animals,1,1
mosquito bite,mosquito bites,mosquito,animals,tfidf,1.0000000000000002,mosquito,animals,1,1
mosquito bitse,mosquito bites,mosquito,animals,tfidf,1.0000000000000002,mosquito,animals,1,1
there is a mouse,there is a mouse,mouse,animals,direct,1.0,mouse,animals,1,1
there is amouse,there is mouse,mouse,animals,direct,1.0,mouse,animals,1,1
there isa mouse,there is mouse,mouse,animals,direct,1.0,mouse,animals,1,1
there is panda,there is panda,panda,animals,direct,1.0,panda,animals,1,1
there is padna,there is panda,panda,animals,direct,1.0,panda,animals,1,1
thereis panda,there's panda,panda,animals,direct,1.0,panda,animals,1,1
there's the penguin,there's the penguin,penguin,animals,tfidf,1.0000000000000002,penguin,animals,1,1
there' the penguin,there's the penguin,penguin,animals,tfidf,1.0000000000000002,penguin,animals,1,1
thr's the penguin,there's the penguin,penguin,animals,tfidf,1.0000000000000002,penguin,animals,1,1
there is the pig,there is the pig,pig,animals,direct,1.0,pig,animals,1,1
there is the pig,there is the pig,pig,animals,direct,1.0,pig,animals,1,1
tehre is the pig,there is the pig,pig,animals,direct,1.0,pig,animals,1,1
it’s a rabbit,it’s a rabbit,rabbit,animals,tfidf,1.0000000000000002,rabbit,animals,1,1
its’ a rabbit,its a rabbit,rabbit,animals,direct,1.0,rabbit,animals,1,1
ti’s a rabbit,this a rabbit,rabbit,animals,direct,1.0,rabbit,animals,1,1
there is the shark,there is the shark,shark,animals,direct,1.0,shark,animals,1,1
there is theshark,there is shark,shark,animals,direct,1.0,shark,animals,1,1
ther is the shark,there is the shark,shark,animals,direct,1.0,shark,animals,1,1
there is the sheep,there is the sheep,sheep,animals,direct,1.0,sheep,animals,1,1
there is the shp,there is the shop,shop,place,direct,1.0,sheep,animals,0,0
there is hte sheep,there is white sheep,sheep,animals,direct,1.0,sheep,animals,1,1
there is the skunk,there is the skunk,skunk,animals,direct,1.0,skunk,animals,1,1
there isthe skunk,there the skunk,skunk,animals,direct,1.0,skunk,animals,1,1
theer is the skunk,these is the skunk,skunk,animals,direct,1.0,skunk,animals,1,1
its a snake,its a snake,snake,animals,direct,1.0,snake,animals,1,1
itsa snake,its snake,snake,animals,direct,1.0,snake,animals,1,1
it’s bat,it’s bat,bat,birds,direct,1.0,bat,birds,1,1
it’s bt,it’s bat,bat,birds,direct,1.0,bat,birds,1,1
it’sbat,it’sbat,bat,birds,fuzzy,0.9333333333333333,bat,birds,1,1
i see birds,i see birds,birds,birds,tfidf,1.0000000000000002,birds,birds,1,1
 see birds,see birds,birds,birds,tfidf,1.0000000000000002,birds,birds,1,1
isee birds,see birds,birds,birds,tfidf,1.0000000000000002,birds,birds,1,1
it’s a crow,it’s a crow,crow,birds,tfidf,1.0000000000000002,crow,birds,1,1
it’s a crow,it’s a crow,crow,birds,tfidf,1.0000000000000002,crow,birds,1,1
it’s a rcow,it’s a cow,cow,animals,direct,1.0,crow,birds,0,0
it’s a cuckoo,it’s a cuckoo,cuckoo,birds,tfidf,1.0000000000000002,cuckoo,birds,1,1
it’ a cuckoo,it’s a cuckoo,cuckoo,birds,tfidf,1.0000000000000002,cuckoo,birds,1,1
it’s a cuckoo,it’s a cuckoo,cuckoo,birds,tfidf,1.0000000000000002,cuckoo,birds,1,1
there is the dove,there is the dove,dove,birds,direct,1.0,dove,birds,1,1
ther is the dove,there is the dove,dove,birds,direct,1.0,dove,birds,1,1
there is the dov,there is the dove,dove,birds,direct,1.0,dove,birds,1,1
there is a duck,there is a duck,duck,birds,direct,1.0,duck,birds,1,1
there is a duck,there is a duck,duck,birds,direct,1.0,duck,birds,1,1
there is the eagle,there is the eagle,eagle,birds,direct,1.0,eagle,birds,1,1
thr is the eagle,there is the eagle,eagle,birds,direct,1.0,eagle,birds,1,1
three is the eagle,these is the eagle,eagle,birds,direct,1.0,eagle,birds,1,1
there is kingfisher,there is kingfisher,kingfisher,birds,direct,1.0,kingfisher,birds,1,1
ther is kingfisher,there is kingfisher,kingfisher,birds,direct,1.0,kingfisher,birds,1,1
there s kingfisher,there s kingfisher,kingfisher,birds,direct,1.0,kingfisher,birds,1,1
its an owl,its an owl,owl,birds,direct,1.0,owl,birds,1,1
its a owl,its a owl,owl,birds,direct,1.0,owl,birds,1,1
it an owl,it an owl,owl,birds,direct,1.0,owl,birds,1,1
there is a parrot,there is a parrot,parrot,birds,direct,1.0,parrot,birds,1,1
there isa parrot,there is parrot,parrot,birds,direct,1.0,parrot,birds,1,1
there is a prarot,there is a parrot,parrot,birds,direct,1.0,parrot,birds,1,1
where is the pelican,where is the pelican,pelican,birds,tfidf,1.0000000000000002,pelican,birds,1,1
wehre is the pelican,where is the pelican,pelican,birds,tfidf,1.0000000000000002,pelican,birds,1,1
where i the pelican,where i the pelican,pelican,birds,direct,1.0,pelican,birds,1,1
there is the pegion,there is the pegion,pigeon,birds,fuzzy,1.0,pigeon,birds,1,1
there is thepegion,there is pegion,pigeon,birds,tfidf,0.9285547007518135,pigeon,birds,1,1
there is th pegion,there is the pegion,pigeon,birds,fuzzy,1.0,pigeon,birds,1,1
its a sparrow,its a sparrow,sparrow,birds,tfidf,1.0000000000000002,sparrow,birds,1,1
its a sparrow,its a sparrow,sparrow,birds,tfidf,1.0000000000000002,sparrow,birds,1,1
its asparrow,its sparrow,sparrow,birds,tfidf,1.0000000000000002,sparrow,birds,1,1
blow my nose,blow my nose,blow nose,body,tfidf,1.0000000000000002,blow nose,body,1,1
blowmy nose,blow nose,blow nose,body,direct,1.0,blow nose,body,1,1
blow my nose,blow my nose,blow nose,body,tfidf,1.0000000000000002,blow nose,body,1,1
put my body vest,put my body vest,body,body,direct,1.0,body vests,body,0,1
put my body vest,put my body vest,body,body,direct,1.0,body vests,body,0,1
its my body,its my body,body,body,tfidf,1.0000000000000002,body,body,1,1
tis my body,this my body,body,body,direct,1.0,body,body,1,1
ts my body,its my body,body,body,tfidf,1.0000000000000002,body,body,1,1
i want to brush my teeth,i want to brush my teeth,brush teeth,body,fuzzy,1.0,brush teeth,body,1,1
i want to brush myteeth,i want to brush teeth,brush teeth,body,direct,1.0,brush teeth,body,1,1
i want to brush m teeth,i want to brush m teeth,brush teeth,body,fuzzy,0.9787234042553191,brush teeth,body,1,1
my ear,my ear,ears,body,fuzzy,1.0,ears,body,1,1
m ear,m ear,ears,body,tfidf,0.9104443961230644,ears,body,1,1
myear,year,ears,body,fuzzy,0.8,ears,body,1,1
my elbow,my elbow,elbow,body,direct,1.0,elbow,body,1,1
m elbow,m elbow,elbow,body,direct,1.0,elbow,body,1,1
myelbow,elbow,elbow,body,direct,1.0,elbow,body,1,1
my eyes,my eyes,eyes,body,direct,1.0,eyes,body,1,1
my eyes,my eyes,eyes,body,direct,1.0,eyes,body,1,1
my eye,my eyes,eyes,body,direct,1.0,eyes,body,1,1
my fingers,my fingers,fingers,body,direct,1.0,fingers,body,1,1
my finger,my fingers,fingers,body,direct,1.0,fingers,body,1,1
my fingers,my fingers,fingers,body,direct,1.0,fingers,body,1,1
my hair,my hair,hair,body,direct,1.0,hair,body,1,1
my hai,my hair,hair,body,direct,1.0,hair,body,1,1
my hands,my hands,hands,body,direct,1.0,hands,body,1,1
my hands,my hands,hands,body,direct,1.0,hands,body,1,1
myhands,hands,hands,body,direct,1.0,hands,body,1,1
my head,my head,head,body,direct,1.0,head,body,1,1
my hea,my head,head,body,direct,1.0,head,body,1,1
my head,my head,head,body,direct,1.0,head,body,1,1
my heart,my heart,heart,body,direct,1.0,heart,body,1,1
my hear,my heart,heart,body,direct,1.0,heart,body,1,1
