input,normalized,correct_label,time_context,location_context
i feel pain,i feel pain,nurse,midday,school
i need medicine,i need medicine,capsule,afternoon,hospital
i need medicin,i need medicin,capsule,afternoon,hospital
i want to sleep,i want to sleep,nap,afternoon,hospital
can you help me remove clothes,can you help me remove clothes,help remove clothes,evening,restaurant
i want a drink,i want a drink,water,afternoon,hospital
i wan a drink,i wan a drink,coca-cola,evening,restaurant
ts red,its red,red,midday,school
i wan some hotdog,i want some hotdog,hotdog,night,community
i want somerice,i want somerice,rice,evening,restaurant
there's the pengiun,there's the penguin,penguin,morning,home
i love dragonfruit,i love dragonfruit,dragonfruit,afternoon,hospital
i want cherry,i want cherry,cherry,evening,restaurant
i want a drnk,i want a drnk,soda,night,community
hello nty,hello aunty,aunt,morning,home
itscloudy,cloudy,cloudy,night,community
i want to rd bicycle,i want to red bicycle,bicycle,evening,restaurant
there are some garbage in the bin,there are some garbage in the bin,garbage in the bin,evening,restaurant
can you rst beef,can you roast beef,roast beef,midday,school
it is blu,it is blue,blue,evening,restaurant
i am thirsty,i am thirsty,water,afternoon,hospital
i am hungry,i am hungry,snack,afternoon,hospital
howare you,howare you,how are you,afternoon,hospital
i am hungry,i am hungry,tiffin,evening,restaurant
i like chees,i like cheese,cheese,morning,home
i want a drnk,i want a drnk,water,afternoon,hospital
i want chrery,i want cherry,cherry,evening,restaurant
i want to sleep,i want to sleep,rest,evening,restaurant
i want to wea watch,i want to wear watch,watch,evening,restaurant
mynose,nose,nose,night,community
i want to change,i want to change,change,night,community
i want fud,i want fud,tiffin,evening,restaurant
m hat,m hat,hat,evening,restaurant
give me some dips,give me some dips,dips,midday,school
i want some rt,i want some rt,raita,morning,home
make me a protien shake,make me a protien shake,protien shake,evening,restaurant
 want donut,want donut,donut,night,community
i like bracelet,i like bracelet,bracelet,morning,home
i wan to sleep,i wan to sleep,nap,morning,home
m ankle aches,m ankle aches,ankle,night,community
its in m cupboard,its in m cupboard,cupboard,afternoon,hospital
i wan a drink,i wan a drink,juice,midday,school
there is a lio,there is a lion,lion,night,community
cover me with blnkts,cover me with blankets,blanket,evening,restaurant
mk some porridge,mk some porridge,porridge,night,community
give me some unts,give me some nuts,nuts,afternoon,hospital
i wan food,i wan food,snack,afternoon,hospital
its italian,its italian,italian,night,community
i wan to sleep,i wan to sleep,nap,morning,home
i want coffee,i want coffee,coffee,midday,school
ti??s bat,this bat,bat,morning,home
give mesome chutney,give some chutney,chutney,evening,restaurant
can you make me some scrambled eggs,can you make me some scrambled eggs,scrambled eggs,evening,restaurant
i am afraid,i am afraid,afraid,morning,home
i want croissant,i want croissant,croissant,evening,restaurant
cover me with blnkts,cover me with blankets,blanket,midday,school
add some chill flakes,add some chilli flakes,chilli flakes,evening,restaurant
take me to the park,take me to the park,park,midday,school
i am hungry,i am hungry,dinner,night,community
i want oatmea,i want oatmeal,oatmeal,morning,home
i like popcorrn,i like popcorrn,popcorn,morning,home
my hip,my hip,hip,midday,school
i wan a drink,i wan a drink,water,morning,home
give me flavoured milk,give me flavoured milk,flavoured milk,afternoon,hospital
gveme some idli,gve some idli,idli,evening,restaurant
this isbrown,this brown,brown,morning,home
i want my lunch bx,i want my lunch box,lunch box,evening,restaurant
where s the baby,where s the baby,baby,night,community
hppy dussehra,happy dussehra,dussehra,afternoon,hospital
i want to sleep,i want to sleep,nap,midday,school
hppy birthday,happy birthday,birthdays,afternoon,hospital
i want cuppa noodles,i want cuppa noodles,cuppa noodles,midday,school
hi mo,hi mom,mother,morning,home
i want a drink,i want a drink,water,morning,home
add some chilli flakes,add some chilli flakes,chilli flakes,midday,school
cn we go ice skating,can we go ice skating,iceskating,night,community
bye,bye,bye,evening,restaurant
giev me some jam,give me some jam,jam,evening,restaurant
i want myscarf,i want scarf,scarf,morning,home
i am hungry,i am hungry,dinner,night,community
i want food,i want food,dinner,night,community
use paepr clip,use paper clip,paper clip,midday,school
i wnt some grapes,i want some grapes,grapes,evening,restaurant
give me cooki,give me cookie,cookie,night,community
i am thirsty,i am thirsty,water,morning,home
i am hungry,i am hungry,snack,afternoon,hospital
thereis a dog,there's a dog,dog,night,community
nice to meet oyu,nice to meet oyu,nice to meet you,night,community
add some chilli flakes,add some chilli flakes,chilli flakes,evening,restaurant
no hands in underpant,no hands in underpants,no hands in underpants,afternoon,hospital
i want food,i want food,snack,afternoon,hospital
what is the current month,what is the current month,current month,evening,restaurant
add mr sause,add mr sause,sauce,evening,restaurant
its a cuckoo,its a cuckoo,cuckoo,midday,school
letsgo to fun zone,lets to fun zone,fun zone,night,community
salsataste good,salsataste good,salsa,night,community
i need mttn,i need mutton,mutton,night,community
i want a drink,i want a drink,coca-cola,evening,restaurant
i amin pain,i pain pain,i am in pain,night,community
i want to sleep,i want to sleep,nap,midday,school
there is the fox,there is the fox,fox,morning,home
htere is a duck,here is a duck,duck,evening,restaurant
iwant fish,want fish,fish,afternoon,hospital
i want fis,i want fish,fish,evening,restaurant
blow my nose,blow my nose,blow nose,afternoon,hospital
use paepr clip,use paper clip,paper clip,morning,home
i wa pushed,i want pushed,i was pushed,afternoon,hospital
iwant dal,want dal,dal,night,community
where is my plat,where is my plate,plate,night,community
tis my habit,this my habit,habits,afternoon,hospital
give me bnn,give me bnn,banana,night,community
i want to sleep,i want to sleep,nap,midday,school
i see a crocodile,i see a crocodile,crocodile,night,community
its acube,its cube,cube,midday,school
i want food,i want food,dinner,night,community
i want a drnk,i want a drnk,water,afternoon,hospital
its an owl,its an owl,owl,afternoon,hospital
take me to museu,take me to museum,museum,night,community
i want to eat,i want to eat,tiffin,evening,restaurant
no pickin nose please,no picking nose please,no picking nose please,morning,home
i wan to eat,i wan to eat,dinner,night,community
i wan food,i wan food,snack,afternoon,hospital
add som salt,add some salt,salt,midday,school
please tell me agai,please tell me again,please tell me again,afternoon,hospital
i wan to sleep,i wan to sleep,rest,evening,restaurant
giveme some chocolates,give some chocolates,chocolate,night,community
my hd,my hd,head,night,community
shall we go to playground,shall we go to playground,playground,afternoon,hospital
my elbow,my elbow,elbow,morning,home
i feel pain,i feel pain,nurse,midday,school
i am hungry,i am hungry,snack,afternoon,hospital
i want to bath,i want to bathe,bathing,evening,restaurant
its spring itme,its spring time,spring,afternoon,hospital
i want sheera,i want sheera,sheera,afternoon,hospital
i feel pain,i feel pain,clinic,night,community
i feel pain,i feel pain,doctor,afternoon,hospital
great job,great job,great job!!!,evening,restaurant
no biting please,no biting please,no biting please,afternoon,hospital
it is the place of worship,it is the place of worship,places of worship,morning,home
can y comb my hair,can y comb my hair,comb hair,midday,school
i want to eat,i want to eat,breakfast,morning,home
i wnat to change my frock,i what to change my frock,change frock,midday,school
can you repeat that question,can you repeat that question,questions,afternoon,hospital
 want to change my t-shirt,want to change my t-shirt,change t-shirt,morning,home
there is the english obok,there is the english book,english book,night,community
i want mango milkshake,i want mango milkshake,mango milkshake,night,community
is htis the standing line,is this the standing line,standing line,afternoon,hospital
i feel cold,i feel cold,jacket,midday,school
gv me some chutney,gve me some chutney,chutney,night,community
greatjob,great job!!!,great job!!!,morning,home
give me appel juice,give me apple juice,apple juice,evening,restaurant
i want a drink,i want a drink,water,morning,home
i want to eat,i want to eat,snack,afternoon,hospital
take me todoctor,take me doctor,doctor,midday,school
i am feeling ashmed,i am feeling ashmed,ashamed,afternoon,hospital
gd afternoon,gd afternoon,good afternoon,midday,school
i am hungry,i am hungry,lunch,midday,school
i wa pushed,i want pushed,i was pushed,evening,restaurant
i lik softball,i like softball,softball,night,community
it is my school notebook,it is my school notebook,school notebook,midday,school
pu bandage,put bandage,bandage,afternoon,hospital
i want to change my shoe,i want to change my shoe,change shoes,evening,restaurant
give m some food,give m some food,food,midday,school
there is a bsn,there is a bison,bison,morning,home
i want a drink,i want a drink,coca-cola,evening,restaurant
i want hard boiled eggs,i want hard boiled eggs,hard boiled eggs,morning,home
i want to change my shorts,i want to change my shorts,change shorts,evening,restaurant
make m some french toast,make m some french toast,french toast,midday,school
i am doneeating,i am eating,eating,night,community
there is pand,there is panda,panda,night,community
"""pleas give me a dosa.""","""please give me a dosa.""",kabab,midday,school
i want pudding,i want pudding,pudding,midday,school
its the donkey,its the donkey,donkey,midday,school
i watn to go to bed,i what to go to bed,bed,morning,home
i like kabaddi,i like kabaddi,kabaddi,morning,home
there is th shark,there is the shark,shark,midday,school
i need medicin,i need medicin,capsule,afternoon,hospital
my ahnds,my hands,hands,morning,home
i wnat pineapple,i what pineapple,pineapple,morning,home
open the doo,open the door,door,night,community
i want hard boiled ggs,i want hard boiled eggs,hard boiled eggs,afternoon,hospital
i want to eat,i want to eat,tiffin,evening,restaurant
i want a drink,i want a drink,water,afternoon,hospital
happy easter,happy easter,easter,night,community
i want to eat,i want to eat,dinner,night,community
my heart,my heart,heart,evening,restaurant
i am thirsty,i am thirsty,soda,night,community
good friday,good friday,good friday,morning,home
i want coca-cola,i want coca-cola,coca-cola,afternoon,hospital
switch on the heater,switch on the heater,heater,night,community
give me sm fruit,give me sm fruit,fruit,afternoon,hospital
crumbl it,crumble it,crumble,morning,home
pleasetell me again,please me again,please tell me again,afternoon,hospital
there is a lion,there is a lion,lion,evening,restaurant
where is the muffi,where is the muffin,muffin,midday,school
i want donut,i want donut,donut,afternoon,hospital
its awesome,its awesome,awesome!,afternoon,hospital
i want to change my short,i want to change my shorts,change shorts,morning,home
i want to play scrabble,i want to play scrabble,scrabble,morning,home
its an owl,its an owl,owl,evening,restaurant
i am in dngr,i am in danger,danger,night,community
i wan food,i wan food,dinner,night,community
i want some bns on toast,i want some beans on toast,beans on toast,midday,school
its a buffal,its a buffalo,buffalo,morning,home
iwant to wear salwar kameez,want to wear salwar kameez,salwar kameez,midday,school
i wanthoney,i wanthoney,honey,midday,school
i see the cow,i see the cow,cow,night,community
giveme gajarhalwa,give gajarhalwa,gajarhalwa,night,community
its in red light please stop,its in red light please stop,red light- wait,morning,home
i wantmiranda,i miranda,mirinda,midday,school
tis my birthday,this my birthday,my birthday,afternoon,hospital
take me to staffroom,take me to staffroom,staffroom,night,community
theer is an ant,these is an ant,ant,midday,school
i have an mrgncy,i have an emergency,emergency,night,community
i wnt to change my frock,i want to change my frock,change frock,night,community
canyou repeat that question,canyou repeat that question,questions,night,community
i want macaroons,i want macaroons,macaroons,midday,school
i am stressed out,i am stressed out,stressed,night,community
take me to food court,take me to food court,food court,evening,restaurant
be safety,be safety,safety,afternoon,hospital
cn we go ice skating,can we go ice skating,iceskating,midday,school
itsgreen,green,green,midday,school
itsgreen,green,green,morning,home
i ws scolded,i was scolded,i was scolded,midday,school
 want to eat with small bites,want to eat with small bites,eat with small bites,morning,home
its teh dolphin,its teeth dolphin,dolphin,evening,restaurant
i am thirsty,i am thirsty,juice,evening,restaurant
i need medicin,i need medicin,syrup,evening,restaurant
i want to wtch cricket,i want to watch cricket,cricket,midday,school
i lkie kabaddi,i line kabaddi,kabaddi,night,community
give me some unts,give me some nuts,nuts,morning,home
the color is wht,the color is what,white,afternoon,hospital
i needsome sambhar,i needsome sambhar,sambhar,afternoon,hospital
g back,g back,back,midday,school
i want my scarf,i want my scarf,scarf,morning,home
give mypillows,give pillows,pillows,night,community
i like barfi,i like barfi,barfi,morning,home
i need medicine,i need medicine,syrup,night,community
iwant soda,want soda,soda,afternoon,hospital
i am doing leg exercise,i am doing leg exercise,leg exercises,afternoon,hospital
i feel cold,i feel cold,blanket,morning,home
my stomach aches,my stomach aches,stomach,midday,school
switch on the light,switch on the light,light,afternoon,hospital
shall we play board game,shall we play board game,board game,midday,school
i am thirsty,i am thirsty,soda,night,community
shall we play snake & ladder,shall we play snake & ladder,snakes & ladders,evening,restaurant
i love bowling,i love bowling,bowling,night,community
i want smth,i want smth,smoothie,morning,home
ther is a lion,there is a lion,lion,evening,restaurant
i want m gloves,i want m gloves,gloves,midday,school
i wan food,i wan food,tiffin,evening,restaurant
they are myfriends,they are friends,friends,midday,school
i am doing lg exercise,i am doing leg exercise,leg exercises,evening,restaurant
 want shampoo,want shampoo,shampoo,night,community
i want fud,i want fud,dinner,night,community
noodles pls,noodles pls,noodles,morning,home
give me brd,give me bread,bread,evening,restaurant
give me for,give me for,fork,morning,home
i am thirsty,i am thirsty,water,morning,home
myshoulder aches,shoulder aches,shoulder,evening,restaurant
i wan food,i wan food,breakfast,morning,home
take al the books,take dal the books,books,afternoon,hospital
i want ginger ale,i want ginger ale,ginger ale,morning,home
i feel pain,i feel pain,clinic,night,community
i want to eat,i want to eat,lunch,midday,school
please tell me again,please tell me again,please tell me again,night,community
 like basket ball,like basket ball,basketball,midday,school
i wan a drink,i wan a drink,water,afternoon,hospital
where is my rrngs,where is my errings,earrings,afternoon,hospital
i want to dnc,i want to dance,dance,evening,restaurant
i wan ginger ale,i want ginger ale,ginger ale,morning,home
gveme some idli,gve some idli,idli,morning,home
i feel cold,i feel cold,blanket,morning,home
my elbow,my elbow,elbow,evening,restaurant
give me bread,give me bread,bread,evening,restaurant
i want some rt,i want some rt,raita,afternoon,hospital
its my legos,its my legos,legos,midday,school
i am sick,i am sick,sick,night,community
i feel pain,i feel pain,nurse,midday,school
i want tochange my innerwear,i want change my innerwear,change innerwear,evening,restaurant
i want to play seesasw,i want to play seesasw,see-saw,afternoon,hospital
tis snowy,this snowy,snowy,evening,restaurant
i wan to sleep,i wan to sleep,nap,afternoon,hospital
happy hallowee,happy halloween,halloween,evening,restaurant
i want to drw,i want to draw,draw,midday,school
plesae slow down,please slow down,please slow down,midday,school
my eyes,my eyes,eyes,midday,school
i want pzz,i want pizza,pizza,midday,school
my nck,my neck,neck,evening,restaurant
i want shr,i want shirt,sheera,morning,home
can you repeat that question,can you repeat that question,questions,night,community
ts a snake,its a snake,snake,morning,home
i want a drink,i want a drink,water,afternoon,hospital
i see a crocodile,i see a crocodile,crocodile,afternoon,hospital
i want paple,i want paper,apple,evening,restaurant
i wan a drink,i wan a drink,juice,midday,school
there ispanda,there panda,panda,morning,home
give m an eraser,give m an eraser,eraser,morning,home
good evenin,good evening,good evening,evening,restaurant
ther is the mug,there is the mug,mug,afternoon,hospital
i need medicine,i need medicine,syrup,evening,restaurant
i want blueberry,i want blueberry,blueberry,morning,home
there is the pegion,there is the pegion,pigeon,afternoon,hospital
can yo read this for me,can you read this for me,read,midday,school
i need medicine,i need medicine,capsule,afternoon,hospital
i need medicin,i need medicin,tablet,midday,school
i want to sleap,i want to sleap,rest,evening,restaurant
give mesome figs,give some figs,figs,afternoon,hospital
gv me gajarhalwa,gve me gajarhalwa,gajarhalwa,afternoon,hospital
i want to play frisbee,i want to play frisbee,frisbee,morning,home
can you change music,can you change music,change music,night,community
i want to sleap,i want to sleap,nap,midday,school
no pinchin please,no pinching please,no pinching please,midday,school
it a star,it a star,star,night,community
i lkie cheese pudding,i line cheese pudding,cheese pudding,morning,home
i need medicin,i need medicin,tablet,morning,home
i want to sleap,i want to sleap,sleep,night,community
its my lgs,its my legs,legos,morning,home
i like to watchrollerskating,i like to rollerskating,rollerskating,afternoon,hospital
letsgo to grocery shop,lets to grocery shop,grocery shop,afternoon,hospital
give me somefood,give me somefood,food,night,community
ogod morning,good morning,morning,evening,restaurant
i want to eat,i want to eat,dinner,night,community
i need medicine,i need medicine,syrup,night,community
it is 500 rupee,it is 500 rupees,inr 500,evening,restaurant
its green,its green,green,midday,school
i want some soup,i want some soup,soup,evening,restaurant
i want fud,i want fud,breakfast,morning,home
i am thirsty,i am thirsty,water,afternoon,hospital
its snwoy,its snowy,snowy,afternoon,hospital
shall we go in ship,shall we go in ship,ship,morning,home
i want to sleap,i want to sleap,nap,morning,home
catch-cathc,catch-catch,catch-catch,afternoon,hospital
can you keep distancewhile talking,can you keep distance talking,keep distance while talking,evening,restaurant
i need some chikoo,i need some chikoo,chikoo,evening,restaurant
give me some foo,give me some food,food,night,community
i feel cold,i feel cold,sweater,evening,restaurant
i wan to eat,i wan to eat,lunch,midday,school
i feel cold,i feel cold,shawl,afternoon,hospital
i wnt pomegranate,i want pomegranate,pomegranate,evening,restaurant
please shr,please shirt,please share,morning,home
i am thirsty,i am thirsty,water,afternoon,hospital
it is 10rupees,it is rupees,inr 10,afternoon,hospital
hi mo,hi mom,mother,afternoon,hospital
there is a parrot,there is a parrot,parrot,afternoon,hospital
give memuseli,give museli,muesli,evening,restaurant
can y cut my nails,can y cut my nails,cut nails,night,community
i need medicin,i need medicin,syrup,evening,restaurant
myfingers,fingers,fingers,morning,home
i need medicin,i need medicin,syrup,night,community
ca we play hide and seek,cat we play hide and seek,hide and seek,evening,restaurant
i wan to eat,i wan to eat,breakfast,morning,home
there is the pegio,there is the pegion,pigeon,midday,school
give me cookie,give me cookie,cookie,evening,restaurant
give me pencil,give me pencil,pencil,midday,school
i want to eat,i want to eat,dinner,night,community
there is an ant,there is an ant,ant,morning,home
my fingers,my fingers,fingers,afternoon,hospital
i need a chalk,i need a chalk,chalk,afternoon,hospital
lets go to clothes shop,lets go to clothes shop,clothes shop,morning,home
i feel isck,i feel sick,i feel sick,night,community
godo night,good night,good night,afternoon,hospital
its gree,its green,green,evening,restaurant
its cldy,its cloudy,cloudy,morning,home
its my lego,its my legos,legos,evening,restaurant
i watn to change my leggins,i what to change my leggins,change leggings,afternoon,hospital
i want to eat,i want to eat,tiffin,evening,restaurant
give me fruit punc,give me fruit punch,fruit punch,evening,restaurant
i want to changethe slacks,i want to change slacks,change slacks,afternoon,hospital
can you repeat that questio,can you repeat that question,questions,night,community
add some peppe,add some pepper,pepper,night,community
i need some avacado,i need some avacado,avacado,midday,school
i want a drink,i want a drink,juice,midday,school
i needa break,i need break,i need a break,afternoon,hospital
i wan to eat,i wan to eat,tiffin,evening,restaurant
i want a drink,i want a drink,water,afternoon,hospital
giev me energy drink,give me energy drink,energy drink,evening,restaurant
i want a drnk,i want a drnk,soda,night,community
hi-fiev,hi-five,hi-five,midday,school
there is a dog,there is a dog,dog,afternoon,hospital
give me somefanta,give me somefanta,fanta,afternoon,hospital
i want mango juice,i want mango juice,mango juice,afternoon,hospital
rn,run,run,midday,school
i want to sleep,i want to sleep,nap,afternoon,hospital
i feel cold,i feel cold,coat,night,community
no btng please,no biting please,no biting please,morning,home
thereis the giraffe,there's the giraffe,giraffe,night,community
mkae me a protien shake,make me a protien shake,protien shake,night,community
i like cake,i like cake,cake,afternoon,hospital
i want to eat,i want to eat,dinner,night,community
i want fud,i want fud,snack,afternoon,hospital
i want to dnc,i want to dance,dance,morning,home
i love chicken,i love chicken,chicken,morning,home
can you keep distance while talking,can you keep distance while talking,keep distance while talking,afternoon,hospital
i amfeeling cold,i feeling cold,feeling cold,evening,restaurant
where isthe ball pit,where the ball pit,ball pit,midday,school
i wan croissant,i want croissant,croissant,evening,restaurant
i am thirsty,i am thirsty,water,morning,home
i feel cold,i feel cold,jacket,midday,school
please shr,please shirt,please share,night,community
ilike guava,like guava,guava,midday,school
its the green light,its the green light,green light- go,morning,home
its inside hte fridge,its inside white fridge,fridge,evening,restaurant
gvie me cornflakes,gve me cornflakes,cornflakes,evening,restaurant
give me flavoured milk,give me flavoured milk,flavoured milk,night,community
shallwe play cards,shall play cards,playing cards,midday,school
i lovekhichidi,i khichidi,khichdi,night,community
i want to watch foobtall,i want to watch football,football,afternoon,hospital
i want bhakri,i want bhakri,bhakri,evening,restaurant
goodevening,good evening,good evening,night,community
i need medicine,i need medicine,tablet,morning,home
take me t balcony,take me t balcony,balcony,morning,home
i want to eat,i want to eat,breakfast,morning,home
i wan a drink,i wan a drink,water,morning,home
i am hppy,i am happy,happy,evening,restaurant
where is th muffin,where is the muffin,muffin,morning,home
iam bored,am bored,bored,afternoon,hospital
ilike guava,like guava,guava,morning,home
i wan food,i wan food,breakfast,morning,home
i love chaat,i love chaat,chaat,afternoon,hospital
i need medicin,i need medicin,tablet,morning,home
give me a cake slic,give me a cake slice,cake slice,midday,school
happy new year,happy new year,new year,midday,school
i want chikoo milkshake,i want chikoo milkshake,chikoo milkshake,afternoon,hospital
i love bowling,i love bowling,bowling,night,community
there is a lion,there is a lion,lion,evening,restaurant
there isthe horse,there the horse,horse,night,community
take all the books,take all the books,books,morning,home
i want some grps,i want some grapes,grapes,afternoon,hospital
ogod morning,good morning,morning,night,community
 like bracelet,like bracelet,bracelet,midday,school
i am thirsty,i am thirsty,water,morning,home
i feel pain,i feel pain,sit,evening,restaurant
this isbrown,this brown,brown,evening,restaurant
i wantpomegranate,i pomegranate,pomegranate,midday,school
take my ocat,take my cat,coat,afternoon,hospital
i want some snack mix,i want some snack mix,snack mix,afternoon,hospital
i want food,i want food,tiffin,evening,restaurant
i needhelp,i i need help,i need help,afternoon,hospital
i want to eat,i want to eat,tiffin,evening,restaurant
how,how,how,morning,home
i want food,i want food,breakfast,morning,home
there is the mug,there is the mug,mug,evening,restaurant
its th donkey,its the donkey,donkey,morning,home
add some pepper,add some pepper,pepper,afternoon,hospital
i wan roast lamb,i want roast lamb,roast lamb,midday,school
can w go ice skating,can w go ice skating,iceskating,morning,home
i lovebowling,i bowling,bowling,evening,restaurant
i want to sleep,i want to sleep,nap,afternoon,hospital
giveme some jam,give some jam,jam,afternoon,hospital
i want to play ipad games,i want to play ipad games,ipad games,evening,restaurant
this hurts,this hurts,hurt,night,community
i was pinche,i was pinched,i was pinched,night,community
gve me sm idli,gve me sm idli,idli,midday,school
dd some butter,add some butter,butter,night,community
make me somefrench toast,make me french toast,french toast,morning,home
i want a drink,i want a drink,coca-cola,evening,restaurant
"""please give me  dosa.""","""please give me dosa.""",dosa,night,community
